"동별(1)",동별(2),동별(3),2025. 10,2025. 10,2025. 10,2025. 10,2025. 10,2025. 10,2025. 10,2025. 10,2025. 10,2025. 10
"동별(1)",동별(2),동별(3),세대 (세대),합계 (명),합계 (명),합계 (명),한국인 (명),한국인 (명),한국인 (명),외국인 (명),외국인 (명),외국인 (명)
"동별(1)",동별(2),동별(3),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자
"합계",마포구,연남동,8239,14760,6799,7961,13826,6432,7394,934,367,567
"합계",마포구,성산1동,9608,18766,8571,10195,18384,8415,9969,382,156,226
"합계",마포구,성산2동,19689,38593,16983,21610,38229,16877,21352,364,106,258
"합계",마포구,상암동,12762,29914,13917,15997,29234,13613,15621,680,304,376
"합계",마포구,도화동,9290,20562,9733,10829,20306,9609,10697,256,124,132
"합계",마포구,서강동,12196,25160,11839,13321,24334,11604,12730,826,235,591
"합계",마포구,공덕동,18463,36702,16995,19707,35993,16672,19321,709,323,386
"합계",마포구,아현동,12338,29632,13699,15933,29058,13464,15594,574,235,339
"합계",양천구,소계,179859,429675,208814,220861,426242,207452,218790,3433,1362,2071
"합계",양천구,목1동,10320,30101,14414,15687,29971,14349,15622,130,65,65
"합계",양천구,목2동,13231,28157,13491,14666,27903,13395,14508,254,96,158
"합계",양천구,목3동,10134,20971,9928,11043,20774,9853,10921,197,75,122
"합계",양천구,목4동,9915,23937,11618,12319,23760,11560,12200,177,58,119
"합계",양천구,신월1동,9835,18878,9658,9220,18598,9548,9050,280,110,170
"합계",양천구,신월2동,8683,20573,9983,10590,20416,9929,10487,157,54,103
"합계",양천구,신월3동,7521,13953,7301,6652,13731,7203,6528,222,98,124
"합계",양천구,신월4동,6796,16932,8162,8770,16829,8127,8702,103,35,68
"합계",양천구,신월5동,6338,13840,6814,7026,13689,6753,6936,151,61,90
"합계",양천구,신월6동,5323,13747,6677,7070,13678,6647,7031,69,30,39
"합계",양천구,신월7동,9045,18155,8743,9412,17993,8694,9299,162,49,113
"합계",양천구,신정1동,6935,19610,9513,10097,19506,9467,10039,104,46,58
"합계",양천구,신정2동,6793,18535,9065,9470,18449,9024,9425,86,41,45
"합계",양천구,신정3동,19360,47923,23118,24805,47591,22978,24613,332,140,192
"합계",양천구,신정6동,8162,23877,11569,12308,23838,11550,12288,39,19,20
"합계",양천구,신정7동,11470,27912,13313,14599,27753,13248,14505,159,65,94
"합계",양천구,목5동,13514,40711,20136,20575,40598,20091,20507,113,45,68
"합계",양천구,신정4동,16484,31863,15311,16552,31165,15036,16129,698,275,423
"합계",강서구,소계,273372,556782,265741,291041,550248,262953,287295,6534,2788,3746
"합계",강서구,염창동,16792,41206,19682,21524,41044,19621,21423,162,61,101
"합계",강서구,등촌1동,14308,25159,11597,13562,24900,11514,13386,259,83,176
"합계",강서구,등촌2동,8605,19118,9317,9801,18962,9252,9710,156,65,91
"합계",강서구,등촌3동,15069,28909,13545,15364,28689,13453,15236,220,92,128
"합계",강서구,화곡본동,17159,32368,15594,16774,31850,15406,16444,518,188,330
"합계",강서구,화곡2동,8181,16959,8148,8811,16635,8016,8619,324,132,192
"합계",강서구,화곡3동,9685,20829,9913,10916,20634,9834,10800,195,79,116
"합계",강서구,화곡4동,9586,19377,9391,9986,19028,9252,9776,349,139,210
"합계",강서구,화곡6동,13453,25796,12273,13523,25463,12155,13308,333,118,215
"합계",강서구,화곡8동,11523,22979,11045,11934,22540,10862,11678,439,183,256
"합계",강서구,가양1동,21050,33800,15112,18688,33497,14999,18498,303,113,190
"합계",강서구,가양2동,7914,13018,6135,6883,12956,6118,6838,62,17,45
"합계",강서구,가양3동,7551,13514,6235,7279,13424,6197,7227,90,38,52
"합계",강서구,발산1동,13589,35172,16551,18621,34857,16350,18507,315,201,114
"합계",강서구,공항동,13718,29344,14827,14517,28705,14481,14224,639,346,293
"합계",강서구,방화1동,16248,39751,19331,20420,39507,19220,20287,244,111,133
"합계",강서구,방화2동,12416,23123,11445,11678,22826,11291,11535,297,154,143
"합계",강서구,방화3동,11125,21574,10320,11254,21437,10267,11170,137,53,84
"합계",강서구,화곡1동,28062,50751,24395,26356,49533,23892,25641,1218,503,715
"합계",강서구,우장산동,17338,44035,20885,23150,43761,20773,22988,274,112,162
"합계",구로구,소계,184528,409429,201344,208085,384991,188215,196776,24438,13129,11309
"합계",구로구,신도림동,14422,36148,17366,18782,35802,17202,18600,346,164,182
"합계",구로구,구로1동,8402,20386,9948,10438,20188,9862,10326,198,86,112
"합계",구로구,구로3동,13609,24643,12700,11943,22743,11781,10962,1900,919,981
"합계",구로구,구로4동,10062,21862,10781,11081,17771,8507,9264,4091,2274,1817
"합계",구로구,구로5동,15610,31416,15344,16072,28648,13916,14732,2768,1428,1340
"합계",구로구,고척1동,11650,26550,13184,13366,26252,13032,13220,298,152,146
"합계",구로구,고척2동,11318,25434,12491,12943,24991,12261,12730,443,230,213
"합계",구로구,개봉2동,12689,29837,14324,15513,29391,14104,15287,446,220,226
"합계",구로구,개봉3동,8620,19380,9340,10040,18903,9111,9792,477,229,248
"합계",구로구,오류1동,12991,23349,11120,12229,22613,10777,11836,736,343,393
"합계",구로구,수궁동,9968,22438,10967,11471,21995,10767,11228,443,200,243
"합계",구로구,가리봉동,6088,12597,7083,5514,8772,4844,3928,3825,2239,1586
"합계",구로구,구로2동,12060,28616,14721,13895,21805,10884,10921,6811,3837,2974
"합계",구로구,개봉1동,15283,34012,16819,17193,33205,16406,16799,807,413,394
"합계",구로구,오류2동,15573,36531,17331,19200,35930,17043,18887,601,288,313
"합계",구로구,항동,6183,16230,7825,8405,15982,7718,8264,248,107,141
"합계",금천구,소계,121554,237839,119761,118078,223588,112288,111300,14251,7473,6778
"합계",금천구,가산동,18713,27812,14939,12873,25318,13566,11752,2494,1373,1121
"합계",금천구,독산1동,26470,49399,24896,24503,47361,23912,23449,2038,984,1054
"합계",금천구,독산2동,9325,18614,9377,9237,17236,8672,8564,1378,705,673
"합계",금천구,독산3동,12682,26143,13331,12812,22773,11464,11309,3370,1867,1503
"합계",금천구,독산4동,7371,15520,7838,7682,13864,6940,6924,1656,898,758
"합계",금천구,시흥1동,16374,33044,16414,16630,31355,15565,15790,1689,849,840
"합계",금천구,시흥2동,8152,20068,9619,10449,19945,9569,10376,123,50,73
"합계",금천구,시흥3동,4674,10196,5014,5182,10029,4936,5093,167,78,89
"합계",금천구,시흥4동,8818,19120,9447,9673,18409,9093,9316,711,354,357
"합계",금천구,시흥5동,8975,17923,8886,9037,17298,8571,8727,625,315,310
"합계",영등포구,소계,192505,395783,193986,201797,371876,181545,190331,23907,12441,11466
